# Retired trigger phrases — an append-only record of phrases that a deleted skill once advertised.
#
# Why this file exists. The collision guard next to it (tests/test-skill-trigger-phrases.sh) folds
# the live claim surface with `sort | uniq -d`, so it sees a phrase claimed by TWO skills and is
# structurally blind to one claimed by NONE. When a skill is deleted, its phrases leave no trace in
# the tree at all — so "which phrases ought to be claimed" is not derivable from the tree, and only
# an enumerated record can express it. Case C10 reads this file and cross-checks it against the live
# extractor in both directions.
#
# What enforces a row being WRITTEN in the first place. C10 checks this record
# against the live tree in both directions, but both directions read the two
# CURRENT sides — so a retirement that deletes a skill and adds no row here
# leaves its phrases absent from the record and absent from the tree at once,
# the two sides still agree, and C10 stays green on a claim surface that just
# shrank. scripts/check-retirement-ledger.py (CI job "Retirement-ledger gate")
# closes that direction from the merge base: it recovers each deleted
# SKILL.md's base-side blob and requires every phrase it advertised to be
# re-claimed by a surviving skill or carried by a row here. That guard accepts
# a row as accounting only when its reason is NON-EMPTY, which is the same bar
# C10's row hygiene already enforces, reached from the other side.
# Its subject is both shapes of the same omission: a phrase advertised at the
# merge base and gone at HEAD, whether because the file was deleted or because a
# surviving skill's description stopped advertising it. A row here discharges
# either one.
#
# Why this is not the roster that suite rejects. The suite rejects a per-skill EXEMPTION list: one
# that must track the extractor's own name key, enumerates live skills, and makes findings
# disappear. This is the opposite object. It is scoped to retirement events rather than to skills,
# its population is closed by history, it names no live skill except as an owner attribution that
# C10 verifies, and every row only ever ADDS a way for the suite to go red. The in-repo precedent is
# references/wiki-tree-reconciliation.md and its enforcement arm tests/test-wiki-tree-parity.sh,
# where a one-sided page with no recorded decision turns the suite red and the documented fix is to
# record the decision rather than route around the guard.
#
# Schema — four tab-separated fields, no trailing spaces:
#   phrase_key  status            owner              reason
#   phrase_key  the extractor's normal form: trimmed, internal whitespace collapsed to single
#               spaces, lowercased. C10 re-derives this and rejects a row whose key is not already
#               normalized, so the comm-join against the live set cannot silently miss.
#   status      claimed | retired
#   owner       the live skill that claims it (status=claimed), or - (status=retired)
#   reason      non-empty, author-written. C10 reddens on an empty reason, so a row cannot be added
#               without saying why.
#
# Provenance: the story-to-storyboard to story-to-web fold. That skill advertised eleven phrases.
# The fold absorbed two, a later revision re-claimed three more, and the remaining six were left
# claimed by nobody. All eleven are recorded below.
#
# Budget snapshot, measured once rather than restated per row. At the time these six were retired,
# story-to-web's resolved description was 1006 of the 1024-char platform cap — 18 characters of
# headroom, not enough for one phrase plus its quoting and comma. Measured with check-frontmatter's
# own resolve_description (the value the gate tests), not a YAML parser, which counts one more.
# Nothing re-measures this line, so treat it as a dated observation: re-measure before relying on
# it. The per-row reasons below deliberately carry only durable rationale.
#
# phrase_key	status	owner	reason
audit narrative	retired	-	Retired, not re-claimed: standalone narrative scoring is retired with the narrative-review skill. The same quality gates still run inside the narrative skill's Phase 5 at generation time, against the per-arc gates in references/story-arc/{arc_id}/arc-definition.md, and post-edit stakeholder review is /review-doc.
grade a narrative	retired	-	Retired, not re-claimed: standalone narrative scoring is retired with the narrative-review skill. The same quality gates still run inside the narrative skill's Phase 5 at generation time, against the per-arc gates in references/story-arc/{arc_id}/arc-definition.md, and post-edit stakeholder review is /review-doc.
evaluate narrative quality	retired	-	Retired, not re-claimed: standalone narrative scoring is retired with the narrative-review skill. The same quality gates still run inside the narrative skill's Phase 5 at generation time, against the per-arc gates in references/story-arc/{arc_id}/arc-definition.md, and post-edit stakeholder review is /review-doc.
narrative scorecard	retired	-	Retired, not re-claimed: standalone narrative scoring is retired with the narrative-review skill. The same quality gates still run inside the narrative skill's Phase 5 at generation time, against the per-arc gates in references/story-arc/{arc_id}/arc-definition.md, and post-edit stakeholder review is /review-doc.
rate my narrative	retired	-	Retired, not re-claimed: standalone narrative scoring is retired with the narrative-review skill. The same quality gates still run inside the narrative skill's Phase 5 at generation time, against the per-arc gates in references/story-arc/{arc_id}/arc-definition.md, and post-edit stakeholder review is /review-doc.
run quality gates on a narrative	retired	-	Retired, not re-claimed: standalone narrative scoring is retired with the narrative-review skill. The same quality gates still run inside the narrative skill's Phase 5 at generation time, against the per-arc gates in references/story-arc/{arc_id}/arc-definition.md, and post-edit stakeholder review is /review-doc.
#
# Provenance: the review-brief retirement (iw#1810). That skill advertised nine phrases;
# its three production callers already dispatched brief-review-assessor directly.
review brief	retired	-	Retired, not re-claimed: the standalone review-brief skill and its /review-brief command are retired. Brief review itself survives as agents/brief-review-assessor.md over libraries/brief-review-perspectives.md, dispatched in-pipeline by story-to-slides, story-to-web and story-to-infographic; only the standalone entry point is gone, so no surviving description re-claims these phrases.
check brief quality	retired	-	Retired, not re-claimed: the standalone review-brief skill and its /review-brief command are retired. Brief review itself survives as agents/brief-review-assessor.md over libraries/brief-review-perspectives.md, dispatched in-pipeline by story-to-slides, story-to-web and story-to-infographic; only the standalone entry point is gone, so no surviving description re-claims these phrases.
assess brief	retired	-	Retired, not re-claimed: the standalone review-brief skill and its /review-brief command are retired. Brief review itself survives as agents/brief-review-assessor.md over libraries/brief-review-perspectives.md, dispatched in-pipeline by story-to-slides, story-to-web and story-to-infographic; only the standalone entry point is gone, so no surviving description re-claims these phrases.
brief review	retired	-	Retired, not re-claimed: the standalone review-brief skill and its /review-brief command are retired. Brief review itself survives as agents/brief-review-assessor.md over libraries/brief-review-perspectives.md, dispatched in-pipeline by story-to-slides, story-to-web and story-to-infographic; only the standalone entry point is gone, so no surviving description re-claims these phrases.
review my presentation brief	retired	-	Retired, not re-claimed: the standalone review-brief skill and its /review-brief command are retired. Brief review itself survives as agents/brief-review-assessor.md over libraries/brief-review-perspectives.md, dispatched in-pipeline by story-to-slides, story-to-web and story-to-infographic; only the standalone entry point is gone, so no surviving description re-claims these phrases.
is this brief ready	retired	-	Retired, not re-claimed: the standalone review-brief skill and its /review-brief command are retired. Brief review itself survives as agents/brief-review-assessor.md over libraries/brief-review-perspectives.md, dispatched in-pipeline by story-to-slides, story-to-web and story-to-infographic; only the standalone entry point is gone, so no surviving description re-claims these phrases.
stakeholder review of a brief	retired	-	Retired, not re-claimed: the standalone review-brief skill and its /review-brief command are retired. Brief review itself survives as agents/brief-review-assessor.md over libraries/brief-review-perspectives.md, dispatched in-pipeline by story-to-slides, story-to-web and story-to-infographic; only the standalone entry point is gone, so no surviving description re-claims these phrases.
review from audience perspective	retired	-	Retired, not re-claimed: the standalone review-brief skill and its /review-brief command are retired. Brief review itself survives as agents/brief-review-assessor.md over libraries/brief-review-perspectives.md, dispatched in-pipeline by story-to-slides, story-to-web and story-to-infographic; only the standalone entry point is gone, so no surviving description re-claims these phrases.
review from design perspective	retired	-	Retired, not re-claimed: the standalone review-brief skill and its /review-brief command are retired. Brief review itself survives as agents/brief-review-assessor.md over libraries/brief-review-perspectives.md, dispatched in-pipeline by story-to-slides, story-to-web and story-to-infographic; only the standalone entry point is gone, so no surviving description re-claims these phrases.
#
# Provenance: the pick-theme to manage-themes fold. The picker advertised seven phrases; the fold
# re-claimed five and retired two. An eighth row records a phrase dropped from the SURVIVING
# manage-themes description rather than from the deleted skill, which is the modification arm of
# the same accounting.
#
# Budget snapshot, measured once rather than restated per row, on 2026-09-06. After the fold the
# manage-themes description resolves to 994 of the 1024-char platform cap — 30 characters of
# headroom, enough for the five re-claims but not for all seven. Measured with the resolver
# check-skill-spec.py itself applies (frontmatter block, folded scalar, lines joined with single
# spaces), not a YAML parser, which counts differently. Nothing re-measures this line, so treat it
# as a dated observation: re-measure before relying on it. The per-row reasons carry only durable
# rationale.
#
pick a theme	claimed	manage-themes	Absorbed by the fold; Operation 11 (Select Theme) is the picker's surviving surface.
select a theme	claimed	manage-themes	Absorbed by the fold; the same selection intent, re-claimed verbatim.
which theme	claimed	manage-themes	Absorbed by the fold; routes a bare theme question to Operation 11 rather than to the Operation 1 recommendation interview.
choose theme	claimed	manage-themes	Absorbed by the fold; replaces the bare adjective "choose" the description carried before, which advertised no addressable phrase.
apply a theme	claimed	manage-themes	Absorbed by the fold; Operation 9 applies a theme Operation 11 resolved, so the phrase lands on one skill either way.
use this theme	retired	-	Retired, not re-claimed: no headroom left in the absorbing description (see the budget snapshot above), and the re-claimed "apply a theme" carries the same use-it-now intent.
theme my output	retired	-	Retired, not re-claimed: no headroom left in the absorbing description, and the phrase names an outcome rather than an operation; "apply a theme" is the addressable form of the same request.
help me pick a theme	retired	-	Retired from the surviving manage-themes description, not from a deleted skill: the fold re-claimed the shorter "pick a theme", which subsumes it, and spending scarce description budget twice on one intent would have cost a phrase carrying its own.
#
# Provenance: the retirement of narrative, narrative-publish and the three story-to-* brief
# producers in favour of text-to-narrative, which runs the same arc pipeline from its own bundled
# copy of the assets and hands one design brief to Claude Design. The five skills advertised 64
# phrases. text-to-narrative re-claimed the four that name the generation intent; the other 60 are
# retired — 55 as new rows below, and the five story-to-web rows above flipped in place from
# claimed to retired, since a row is the record of a phrase rather than of an event.
#
# Budget snapshot, measured once on 2026-09-07 with check-skill-spec.py's own resolver: after the
# four re-claims the text-to-narrative description resolves to 944 of the 1024-char cap.
# Nothing re-measures this line; treat it as a dated observation.
#
create a narrative	claimed	text-to-narrative	Re-claimed from the retired narrative skill: text-to-narrative runs the same Phases 0-6 from its bundled copy of the assets, so the generation intent lands on the successor verbatim.
write a narrative	claimed	text-to-narrative	Re-claimed from the retired narrative skill: text-to-narrative runs the same Phases 0-6 from its bundled copy of the assets, so the generation intent lands on the successor verbatim.
transform content into a story arc	claimed	text-to-narrative	Re-claimed from the retired narrative skill: text-to-narrative runs the same Phases 0-6 from its bundled copy of the assets, so the generation intent lands on the successor verbatim.
generate an insight summary	claimed	text-to-narrative	Re-claimed from the retired narrative skill: text-to-narrative runs the same Phases 0-6 from its bundled copy of the assets, so the generation intent lands on the successor verbatim.
make this readable for executives	retired	-	Retired with the narrative skill, not re-claimed: a variant of the generation intent that the re-claimed "create a narrative" and "generate an insight summary" already route to text-to-narrative, and the successor's description has no headroom for restating it.
summarize research findings as a narrative	retired	-	Retired with the narrative skill, not re-claimed: a variant of the generation intent that the re-claimed "create a narrative" and "generate an insight summary" already route to text-to-narrative, and the successor's description has no headroom for restating it.
tips trend narratives	retired	-	Retired with the narrative skill, not re-claimed: a variant of the generation intent that the re-claimed "create a narrative" and "generate an insight summary" already route to text-to-narrative, and the successor's description has no headroom for restating it.
turn these findings into something presentable	retired	-	Retired with the narrative skill, not re-claimed: a variant of the generation intent that the re-claimed "create a narrative" and "generate an insight summary" already route to text-to-narrative, and the successor's description has no headroom for restating it.
condense narrative	retired	-	Retired with the narrative skill's --format derivative mode, which has no successor: text-to-narrative writes a design brief for Claude Design, not an executive brief, talking points or a one-pager, so the phrase has no live owner until a derivative mode is ported.
create executive brief	retired	-	Retired with the narrative skill's --format derivative mode, which has no successor: text-to-narrative writes a design brief for Claude Design, not an executive brief, talking points or a one-pager, so the phrase has no live owner until a derivative mode is ported.
generate talking points	retired	-	Retired with the narrative skill's --format derivative mode, which has no successor: text-to-narrative writes a design brief for Claude Design, not an executive brief, talking points or a one-pager, so the phrase has no live owner until a derivative mode is ported.
make a one-pager	retired	-	Retired with the narrative skill's --format derivative mode, which has no successor: text-to-narrative writes a design brief for Claude Design, not an executive brief, talking points or a one-pager, so the phrase has no live owner until a derivative mode is ported.
narrativ in einem durchgang veröffentlichen	retired	-	Retired with narrative-publish: the chain it sequenced (narrative, optional copywriter polish, one theme resolution, story-to-* briefs, optional render) no longer exists as a unit. text-to-narrative hands one design brief to Claude Design, and the render chain is invoked per skill.
narrative end to end	retired	-	Retired with narrative-publish: the chain it sequenced (narrative, optional copywriter polish, one theme resolution, story-to-* briefs, optional render) no longer exists as a unit. text-to-narrative hands one design brief to Claude Design, and the render chain is invoked per skill.
one invocation from research to deliverable	retired	-	Retired with narrative-publish: the chain it sequenced (narrative, optional copywriter polish, one theme resolution, story-to-* briefs, optional render) no longer exists as a unit. text-to-narrative hands one design brief to Claude Design, and the render chain is invoked per skill.
publish this narrative	retired	-	Retired with narrative-publish: the chain it sequenced (narrative, optional copywriter polish, one theme resolution, story-to-* briefs, optional render) no longer exists as a unit. text-to-narrative hands one design brief to Claude Design, and the render chain is invoked per skill.
run the narrative pipeline	retired	-	Retired with narrative-publish: the chain it sequenced (narrative, optional copywriter polish, one theme resolution, story-to-* briefs, optional render) no longer exists as a unit. text-to-narrative hands one design brief to Claude Design, and the render chain is invoked per skill.
take this research directory all the way through	retired	-	Retired with narrative-publish: the chain it sequenced (narrative, optional copywriter polish, one theme resolution, story-to-* briefs, optional render) no longer exists as a unit. text-to-narrative hands one design brief to Claude Design, and the render chain is invoked per skill.
create slides from report	retired	-	Retired with story-to-slides: brief production moved to text-to-narrative Phase 7 (target slides). Rendering an existing presentation brief remains render-html-slides and the pptx agent, whose own entry points claim their phrases.
folien aus bericht	retired	-	Retired with story-to-slides: brief production moved to text-to-narrative Phase 7 (target slides). Rendering an existing presentation brief remains render-html-slides and the pptx agent, whose own entry points claim their phrases.
foliensatz	retired	-	Retired with story-to-slides: brief production moved to text-to-narrative Phase 7 (target slides). Rendering an existing presentation brief remains render-html-slides and the pptx agent, whose own entry points claim their phrases.
pitch deck	retired	-	Retired with story-to-slides: brief production moved to text-to-narrative Phase 7 (target slides). Rendering an existing presentation brief remains render-html-slides and the pptx agent, whose own entry points claim their phrases.
powerpoint	retired	-	Retired with story-to-slides: brief production moved to text-to-narrative Phase 7 (target slides). Rendering an existing presentation brief remains render-html-slides and the pptx agent, whose own entry points claim their phrases.
praesentation erstellen	retired	-	Retired with story-to-slides: brief production moved to text-to-narrative Phase 7 (target slides). Rendering an existing presentation brief remains render-html-slides and the pptx agent, whose own entry points claim their phrases.
presentation	retired	-	Retired with story-to-slides: brief production moved to text-to-narrative Phase 7 (target slides). Rendering an existing presentation brief remains render-html-slides and the pptx agent, whose own entry points claim their phrases.
presentation outline	retired	-	Retired with story-to-slides: brief production moved to text-to-narrative Phase 7 (target slides). Rendering an existing presentation brief remains render-html-slides and the pptx agent, whose own entry points claim their phrases.
slide deck	retired	-	Retired with story-to-slides: brief production moved to text-to-narrative Phase 7 (target slides). Rendering an existing presentation brief remains render-html-slides and the pptx agent, whose own entry points claim their phrases.
slides	retired	-	Retired with story-to-slides: brief production moved to text-to-narrative Phase 7 (target slides). Rendering an existing presentation brief remains render-html-slides and the pptx agent, whose own entry points claim their phrases.
create a web page from report	retired	-	Retired with story-to-web: brief production moved to text-to-narrative Phase 7 (target web, or a poster series in print). Rendering an existing web or storyboard brief remains the web and storyboard agents, whose own entry points claim their phrases.
landing page from narrative	retired	-	Retired with story-to-web: brief production moved to text-to-narrative Phase 7 (target web, or a poster series in print). Rendering an existing web or storyboard brief remains the web and storyboard agents, whose own entry points claim their phrases.
landingpage erstellen	retired	-	Retired with story-to-web: brief production moved to text-to-narrative Phase 7 (target web, or a poster series in print). Rendering an existing web or storyboard brief remains the web and storyboard agents, whose own entry points claim their phrases.
scrollable web page	retired	-	Retired with story-to-web: brief production moved to text-to-narrative Phase 7 (target web, or a poster series in print). Rendering an existing web or storyboard brief remains the web and storyboard agents, whose own entry points claim their phrases.
scrollbare webseite	retired	-	Retired with story-to-web: brief production moved to text-to-narrative Phase 7 (target web, or a poster series in print). Rendering an existing web or storyboard brief remains the web and storyboard agents, whose own entry points claim their phrases.
single-page narrative	retired	-	Retired with story-to-web: brief production moved to text-to-narrative Phase 7 (target web, or a poster series in print). Rendering an existing web or storyboard brief remains the web and storyboard agents, whose own entry points claim their phrases.
web narrative	retired	-	Retired with story-to-web: brief production moved to text-to-narrative Phase 7 (target web, or a poster series in print). Rendering an existing web or storyboard brief remains the web and storyboard agents, whose own entry points claim their phrases.
web story	retired	-	Retired with story-to-web: brief production moved to text-to-narrative Phase 7 (target web, or a poster series in print). Rendering an existing web or storyboard brief remains the web and storyboard agents, whose own entry points claim their phrases.
web-narrative	retired	-	Retired with story-to-web: brief production moved to text-to-narrative Phase 7 (target web, or a poster series in print). Rendering an existing web or storyboard brief remains the web and storyboard agents, whose own entry points claim their phrases.
webseite aus bericht	retired	-	Retired with story-to-web: brief production moved to text-to-narrative Phase 7 (target web, or a poster series in print). Rendering an existing web or storyboard brief remains the web and storyboard agents, whose own entry points claim their phrases.
back of the napkin	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
dashboard poster	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
data poster	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
dateninfografik	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
economist data page	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
einseiter mit zahlen	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
ft visual journalism	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
graphic recording	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
infografik	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
infographic	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
kpi poster	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
make this visual	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
mike rohde sketchnote	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
rsa animate whiteboard	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
single-page overview	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
stat sheet	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
tufte data-ink	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
visual facilitation	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
visual one-pager	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
visual summary	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
visuelle zusammenfassung	retired	-	Retired with story-to-infographic: brief production moved to text-to-narrative Phase 7 (target infographic). Rendering an existing infographic brief remains /render-infographic and its three renderer agents, whose own entry points claim the style-tradition phrases.
#
# Provenance: the copy-json retirement. That adapter skill advertised four phrases and had exactly
# one caller — the .json branch of /copywrite, removed in the same change. Unlike the story-to-*
# folds above, no surviving skill re-claims these: this was a capability deletion, so every phrase
# below is intentionally claimed by nothing.
polish json	retired	-	Retired with copy-json: the JSON-polishing capability was deleted outright, not absorbed. Nothing in cogni-workspace polishes JSON afterwards and /copywrite is markdown-only, so this phrase is deliberately unclaimed rather than re-homed.
copywrite marketplace.json	retired	-	Retired with copy-json: the JSON-polishing capability was deleted outright, not absorbed. Nothing in cogni-workspace polishes JSON afterwards and /copywrite is markdown-only, so this phrase is deliberately unclaimed rather than re-homed.
improve descriptions in plugin.json	retired	-	Retired with copy-json: the JSON-polishing capability was deleted outright, not absorbed. Nothing in cogni-workspace polishes JSON afterwards and /copywrite is markdown-only, so this phrase is deliberately unclaimed rather than re-homed.
polish fields in json	retired	-	Retired with copy-json: the JSON-polishing capability was deleted outright, not absorbed. Nothing in cogni-workspace polishes JSON afterwards and /copywrite is markdown-only, so this phrase is deliberately unclaimed rather than re-homed.
